song_id,song_name,artist_id
200,She Got Me                                                                                          ,119
201,Too Late For Love                                                                                   ,118
202,Spirit in the Sky                                                                                   ,125
203,Proud                                                                                               ,117
204,Truth                                                                                               ,123
205,Hatrið mun sigra                                                                                    ,103
206,Replay                                                                                              ,109
207,Chameleon                                                                                           ,126
208,Sebi                                                                                                ,106
209,Roi                                                                                                 ,133
210,Friend of a Friend                                                                                  ,95
211,Love Is Forever                                                                                     ,128
212,Arcade                                                                                              ,116
213,Scream                                                                                              ,124
214,Ktheju tokës                                                                                        ,127
215,Kruna                                                                                               ,107
216,Say Na Na Na                                                                                        ,108
217,Storm                                                                                               ,104
218,Better Love                                                                                         ,105
219,Like It                                                                                             ,110
220,Sister                                                                                              ,134
221,Lost And Found                                                                                      ,135
222,Oniro Mou                                                                                           ,136
223,X My Heart                                                                                          ,137
224,Our Choice                                                                                          ,138
225,Crazy                                                                                               ,139
226,La Forza                                                                                            ,140
227,TOY                                                                                                 ,141
228,A Matter Of Time                                                                                    ,142
229,Qami                                                                                                ,143
230,FOREVER                                                                                             ,144
231,Stones                                                                                              ,145
232,Lie To Me                                                                                           ,146
233,Fuego                                                                                               ,147
234,Together                                                                                            ,148
235,Mall                                                                                                ,149
236,When Were Old                                                                                       ,150
237,Nobody But You                                                                                      ,151
238,Bones                                                                                               ,152
239,Monsters                                                                                            ,153
240,Who We Are                                                                                          ,154
241,Light Me Up                                                                                         ,155
242,Goodbye                                                                                             ,156
243,For You                                                                                             ,157
244,Thats How You Write A Song                                                                          ,158
245,"Hvala, ne!                                                                                          ",159
246,We Got Love                                                                                         ,160
247,Higher Ground                                                                                       ,161
248,Nova Deca                                                                                           ,162
249,Outlaw In Em                                                                                        ,163
250,My Lucky Day                                                                                        ,164
251,Under The Ladder                                                                                    ,165
252,Funny Girl                                                                                          ,166
253,Taboo                                                                                               ,167
254,I Wont Break                                                                                        ,168
255,Inje                                                                                                ,169
256,Viszlát Nyár                                                                                        ,170
257,Dance You Off                                                                                       ,171
258,Outlaw In Em                                                                                        ,163
259,My Lucky Day                                                                                        ,164
260,Under The Ladder                                                                                    ,165
261,Thats How You Write A Song                                                                          ,158
262,"Hvala, ne!                                                                                          ",159
263,La Forza                                                                                            ,140
264,TOY                                                                                                 ,141
265,We Got Love                                                                                         ,160
266,Higher Ground                                                                                       ,161
267,Nova Deca                                                                                           ,162
268,Lie To Me                                                                                           ,146
269,Fuego                                                                                               ,147
270,Together                                                                                            ,148
271,Mall                                                                                                ,149
272,Viszlát Nyár                                                                                        ,170
273,Dance You Off                                                                                       ,171
274,When Were Old                                                                                       ,150
275,Nobody But You                                                                                      ,151
276,Bones                                                                                               ,152
277,Monsters                                                                                            ,153
278,O Jardim                                                                                            ,172
279,Storm                                                                                               ,173
280,Tu Canción                                                                                          ,174
281,Non Mi Avete Fatto Niente                                                                           ,175
282,Mercy                                                                                               ,176
283,You Let Me Walk Alone                                                                               ,177
284,Paper                                                                                               ,178
285,Line                                                                                                ,179
286,My Turn                                                                                             ,180
287,On My Way                                                                                           ,181
288,World                                                                                               ,182
289,Keep The Faith                                                                                      ,183
290,Blackbird                                                                                           ,184
291,Space                                                                                               ,185
292,Flashlight                                                                                          ,186
293,This is Love                                                                                        ,187
294,Hey Mamma                                                                                           ,188
295,Fly With Me                                                                                         ,189
296,I Cant Go On                                                                                        ,190
297,City Lights                                                                                         ,191
298,Dont Come Easy                                                                                      ,192
299,Skeletons                                                                                           ,193
300,Gravity                                                                                             ,194
301,Amar Pelos Dois                                                                                     ,195
302,Rain Of Revolution                                                                                  ,196
303,Spirit of the Night                                                                                 ,197
304,Verona                                                                                              ,198
305,Apollo                                                                                              ,199
306,Dying to Try                                                                                        ,200
307,In Too Deep                                                                                         ,201
308,Breathlessly                                                                                        ,202
309,Dance Alone                                                                                         ,203
310,Grab The Moment                                                                                     ,204
311,Story of My Life                                                                                    ,205
312,My Friend                                                                                           ,206
313,Beautiful Mess                                                                                      ,207
314,I Feel Alive                                                                                        ,208
315,Running On Air                                                                                      ,209
316,Origo                                                                                               ,97
317,Yodel It!                                                                                           ,210
318,Where I Am                                                                                          ,211
319,Lights and Shadows                                                                                  ,212
320,Requiem                                                                                             ,213
321,Perfect Life                                                                                        ,214
322,Do It For Your Lover                                                                                ,215
323,Never Give Up On You                                                                                ,216
324,Occidentalis Karma                                                                                  ,217
325,Time                                                                                                ,218
326,Flashlight                                                                                          ,186
327,This is Love                                                                                        ,187
328,Hey Mamma                                                                                           ,188
329,Fly With Me                                                                                         ,189
330,I Cant Go On                                                                                        ,190
331,City Lights                                                                                         ,191
332,Dont Come Easy                                                                                      ,192
333,Skeletons                                                                                           ,193
334,Gravity                                                                                             ,194
335,Amar Pelos Dois                                                                                     ,195
336,Grab The Moment                                                                                     ,204
337,Story of My Life                                                                                    ,205
338,My Friend                                                                                           ,206
339,Beautiful Mess                                                                                      ,207
340,I Feel Alive                                                                                        ,208
341,Running On Air                                                                                      ,209
342,Origo                                                                                               ,97
343,Yodel It!                                                                                           ,210
344,Where I Am                                                                                          ,211
345,Lights and Shadows                                                                                  ,212
346,I Didnt Know                                                                                        ,108
347,Hear Them Calling                                                                                   ,219
348,The Real Thing                                                                                      ,220
349,Utopian Land                                                                                        ,221
350,Play                                                                                                ,222
351,Ljubav Je                                                                                           ,223
352,Falling Stars                                                                                       ,224
353,Sing It Away                                                                                        ,225
354,Loin dici                                                                                           ,226
355,Slow Down                                                                                           ,227
356,You Are The Only One                                                                                ,124
357,Pioneer                                                                                             ,228
358,I Stand                                                                                             ,229
359,LoveWave                                                                                            ,230
360,Walk On Water                                                                                       ,231
361,Alter Ego                                                                                           ,232
362,Lighthouse                                                                                          ,233
363,Miracle                                                                                             ,234
364,Icebreaker                                                                                          ,235
365,Blue And Red                                                                                        ,236
366,Soldiers Of Love                                                                                    ,237
367,Dona                                                                                                ,238
368,The Last Of Our Kind                                                                                ,239
369,Sunlight                                                                                            ,240
370,Help You Fly                                                                                        ,241
371,Fairytale                                                                                           ,242
372,Goodbye (Shelter)                                                                                   ,243
373,Color Of Your Life                                                                                  ,244
374,Whats The Pressure                                                                                  ,245
375,1944                                                                                                ,246
376,Ive Been Waiting for This Night                                                                     ,247
377,Sound Of Silence                                                                                    ,248
378,Midnight Gold                                                                                       ,249
379,If Love Was A Crime                                                                                 ,250
380,Heartbeat                                                                                           ,251
381,Made Of Stars                                                                                       ,252
382,Goodbye (Shelter)                                                                                   ,243
383,Color Of Your Life                                                                                  ,244
384,Whats The Pressure                                                                                  ,245
385,1944                                                                                                ,246
386,Ive Been Waiting for This Night                                                                     ,247
387,Sound Of Silence                                                                                    ,248
388,Midnight Gold                                                                                       ,249
389,If Love Was A Crime                                                                                 ,250
390,Heartbeat                                                                                           ,251
391,Made Of Stars                                                                                       ,252
392,Loin dici                                                                                           ,226
393,Slow Down                                                                                           ,227
394,You Are The Only One                                                                                ,124
395,Pioneer                                                                                             ,228
396,I Stand                                                                                             ,229
397,LoveWave                                                                                            ,230
398,Walk On Water                                                                                       ,231
399,Alter Ego                                                                                           ,232
